date,open,high,low,close,volume,macd,macds,macdh,boll,boll_ub,boll_lb,trix,volume_delta,middle,cr,rsv_9,kdjk,kdjd,kdjj,rsi_6,rsi_12,wr_10,wr_6,cci,tr,atr,dma,high_delta,low_delta,pdi,mdi,dx,adx,adxr,change,vr,direction_up,direction_down,direction
1981-01-13,30.63,30.63,30.5,30.5,102900,0.170319687,0.474972031,-0.609304689,31.132,37.60910332,24.65489668,0.602307684,-2900,30.54333333,119.2173913,5.555555556,19.98533108,31.8256404,-3.695287565,38.08634377,46.59127119,95,88.20754717,-91.41860342,1.12,1.172214478,1.469428571,-1.25,-1.12,37.61538198,52.51870897,16.53461728,14.59903291,22.6564776,-3.542061986,87.42142988,1,0,0.004262295
1981-01-14,30.63,30.75,30.63,30.63,63800,0.078101208,0.395007835,-0.633813255,31.301,37.52298107,25.07901893,0.494898101,-39100,30.67,121.0144928,8.444444444,16.13836887,26.59654989,-4.777993176,39.6454991,47.27657871,91.55555556,78.28571429,-85.02083909,0.25,1.088734197,1.038090909,0.12,0.13,36.39295448,48.66806293,14.43094478,14.5509667,20.33863858,0.426229508,89.76658702,1,0,0.020241593
1981-01-15,31.25,31.5,31.25,31.25,62800,0.047777055,0.325149307,-0.554744503,31.601,37.13510441,26.06689559,0.403366841,-1000,31.33333333,128.2318841,27.62430939,19.96701571,24.38670516,11.1276368,47.248229,50.57607312,77.77777778,42.85714286,-53.73143736,0.87,1.069305,0.73926087,0.75,0.62,41.63598259,42.69006745,1.250010948,10.74837483,17.59689132,2.024159321,92.07498622,0,1,-0.008
1981-01-16,31.12,31.12,31,31,59800,0.006474308,0.261111899,-0.509275182,31.8575,36.70628661,27.00871339,0.322649938,-3000,31.04,124.6197183,35.37735849,25.10379664,24.62573565,26.0599186,44.53379569,49.22109597,79.28176796,66.66666667,-57.9849478,0.25,0.997774164,0.38975,-0.38,-0.25,38.47320572,42.89929806,5.439297228,9.230834523,15.20554779,-0.8,90.09459411,1,0,0.060322581
1981-01-19,32.87,33,32.87,32.87,185600,0.104255146,0.229621581,-0.250732871,32.1695,36.36040481,27.97859519,0.27544953,125800,32.91333333,141.1830986,95.27272727,48.49344018,32.58163716,80.31704622,63.40496046,58.33059209,4.727272727,5.2,33.23456046,2,1.083907579,0.2274,1.88,1.87,54.34907473,34.07353712,22.93026319,13.14617514,14.61697248,6.032258065,96.77013272,0,1,-0.030118649
1981-01-20,32,32,31.88,31.88,134300,0.109636438,0.205551806,-0.191830736,32.351,36.12040537,28.58159463,0.237882437,-51300,31.92,129.8445596,59.27272727,52.08653588,39.08327007,78.0930675,52.13602248,52.85444965,40.72727273,44.8,-5.228233696,0.99,1.07595242,0.159846154,-1,-0.99,47.26959948,42.20783764,5.657025949,11.00594261,13.58502033,-3.011864922,92.31112331,1,0,0.01944793
1981-01-21,32.5,32.75,32.5,32.5,71000,0.156494993,0.195716664,-0.078443341,32.4945,36.03959283,28.94940717,0.215056104,-63300,32.58333333,136.2953368,80,61.39102392,46.51918802,91.13469572,57.77576507,55.69606757,18.18181818,21.09704641,47.73195028,0.87,1.058734373,0.270592593,0.75,0.62,51.14364581,37.05240455,15.97717948,12.42652149,13.25396811,1.944792974,94.74713511,1,0,0.011384615
1981-01-22,32.87,33.13,32.87,32.87,158700,0.21766473,0.200114784,0.035099892,32.594,36.05910059,29.12889941,0.206041181,87700,32.95666667,159.6527369,90.11406844,70.96537209,54.66791604,103.5602842,61.06141956,57.36889136,9.885931559,12.20657277,92.76420481,0.63,1.023322381,0.471785714,0.38,0.37,50.77054972,33.12861764,21.02754131,14.88423439,13.7198113,1.138461538,137.1372218,0,1,-0.003650745
1981-01-23,32.87,33,32.75,32.75,50100,0.254209678,0.21095053,0.086518294,32.6065,36.0719765,29.1410235,0.203570701,-108600,32.83333333,191.0080787,85.5513308,75.82735833,61.72106347,104.039948,59.26655953,56.61260006,14.4486692,17.84037559,96.19222154,0.25,0.960154064,0.506310345,-0.13,-0.12,46.78040113,32.21807201,18.43368429,15.89844507,14.3423285,-0.365074536,171.0219619,0,1,-0.015267176
1981-01-26,32.37,32.37,32.25,32.25,110000,0.243473468,0.21746318,0.052020576,32.444,35.63186779,29.25613221,0.198448151,59900,32.29,172.8987426,64.8,72.15157222,65.19789972,86.05891722,51.6722077,53.4120181,33.46007605,70.4,49.7251069,0.5,0.922948264,0.537,-0.63,-0.5,42.08749191,36.3093153,7.370423381,13.46172648,14.09071337,-1.526717557,139.4387895,0,1,-0.007751938
1981-01-27,32.25,32.25,32,32,105800,0.213982954,0.216766445,-0.005566982,32.244,34.95940944,29.52859056,0.188389081,-4200,32.08333333,159.9871341,46.94835681,63.75050042,64.71543329,61.82063467,47.9831062,51.81421471,45.2,90.4,26.34408602,0.25,0.869045087,0.66483871,-0.12,-0.25,38.6668477,37.23988246,1.879892915,10.15249444,12.96546147,-0.775193798,114.7194925,0,1,-0.03125
1981-01-28,31.12,31.12,31,31,125700,0.114855013,0.196367997,-0.163025969,32.038,34.44200193,29.63399807,0.163632635,19900,31.04,129.9068142,0,42.50033361,57.31040006,12.88020071,35.73647714,45.83151609,100,100,-79.30988275,1,0.879444402,0.7123125,-1.13,-1,33.06217432,47.1603408,17.57382756,12.27293792,12.76759176,-3.125,97.0863836,0,1,-0.036451613
1981-01-29,30,30,29.87,29.87,196000,-0.047629591,0.14753753,-0.39033424,31.825,34.20330988,29.44669012,0.117943931,70300,29.91333333,106.3143989,0,28.33355574,47.65145195,-10.30223669,26.54837464,40.12086648,100,100,-147.170445,1.13,0.899183801,0.618393939,-1.12,-1.13,27.98616519,56.82616026,34.0044857,18.48208247,14.40033781,-3.64516129,81.18040089,0,1,-0.054235018
1981-01-30,28.5,28.5,28.25,28.25,206200,-0.294746626,0.059035823,-0.707564898,31.5125,34.04812304,28.97687696,0.043438993,10200,28.33333333,84.61718021,0,18.88903716,38.06398036,-19.46084923,18.40677666,33.57758153,100,100,-198.4889695,1.62,0.955556945,0.432529412,-1.5,-1.62,22.79649269,69.0687037,50.36968605,27.59296354,18.16971621,-5.423501841,65.80042428,0,1,-0.057345133
1981-02-02,26.75,26.75,26.63,26.63,106100,-0.605854831,-0.073996272,-1.063717117,31.1565,34.29663929,28.01636071,-0.062540938,-100100,26.67,64.90093848,0,12.59269144,29.57355072,-21.36902711,13.45520323,28.50593099,100,100,-223.1863586,1.62,1.007171409,-0.061142857,-1.75,-1.62,18.72508115,78.32360083,61.41095218,37.25534994,23.62281307,-5.734513274,54.69049388,1,0,0.037176117
1981-02-03,27.62,27.75,27.62,27.62,85500,-0.767785958,-0.212799253,-1.109973409,30.925,34.39142543,27.45857457,-0.169156839,-20600,27.66333333,52.40875912,15.23076923,13.4720507,24.20638405,-7.996615981,27.71504817,35.04644082,84.76923077,82.38434164,-136.561859,1.12,1.015881566,-0.391555556,1,0.99,29.27617098,67.23815178,39.3330023,37.84896946,27.68746041,3.717611716,48.33222539,1,0,0.036205648
